event_id,device_id,manufacturer_id,name,country_event,country_device
2856,2690.0,1427,Invacare Action 3 Junior Push Bar Handle,NZL,NZL
2857,2691.0,1428,Bio-Rad D-10 Hemoglobin A Program Reorder pack,NZL,NZL
2858,2692.0,1428,"Bio-Rad VARIANT 11 beta Thalassemmia Short program Reorder pack, 500 tests",NZL,NZL
2859,2693.0,1429,Cincinnati Sub-Zero WarmAir Convection Warming Device,NZL,NZL
2861,2695.0,1431,PerkinEllmer LifeCycle for Prenatal Screening,NZL,NZL
2862,2696.0,1432,"Arjo Minstrel, Minerva, Excelsior & Gemini Patient Lifts",NZL,NZL
2863,2697.0,1433,Aaxis Alcohol Swab,NZL,NZL
2864,2698.0,1434,Zimmer Pathfinder NXT Fixed Rod Holder Instrument,NZL,NZL
2865,2699.0,1435,"Invacare Birdie & Flamingo Lifter, Carabineer",NZL,NZL
2866,2700.0,1436,EV3 Onyx Liquid Embolic Systems,NZL,NZL
2867,2701.0,1437,Elekta Monaco Radiation Treatment Planning System,NZL,NZL
2868,2702.0,1437,Elekta Focal Radiation Therapy Treatment Planning System,NZL,NZL
2869,2703.0,1438,ASP Sterrad Cyclesure 24 Biological Indicator,NZL,NZL
2871,2705.0,1440,Unisis Uniever Pencil Point 25G x 90mm Spinal Needle with guide needle,NZL,NZL
2874,2708.0,1443,Kimberly-Clark Ultra Fabri Reinforced Surgical Gown X-Large,NZL,NZL
2875,2709.0,1443,Kimberly-Clark MicroCool Breathable Gown,NZL,NZL
2877,2711.0,1438,ASP Sterrad 100S System Cassettes,NZL,NZL
2879,2713.0,1446,"Vital Signs Disposable General Purpose Temperature Probe, 9Fr",NZL,NZL
2884,2718.0,1448,Otto Bock 4R82 Tube Clamp Adapter,NZL,NZL
2885,2719.0,1449,"Covidien Shiley Tracheostomy Tube, Cuffed with Inner Cannula",NZL,NZL
2890,2724.0,1451,Abbott RealTime High Risk HPV Amplification Reagent Kit,NZL,NZL
2891,2725.0,1452,Ormco AEZ Mini Distal Cutter w/ Hold Long,NZL,NZL
2893,2727.0,1454,Abbott i-STAT cTnl Cartridge,NZL,NZL
2894,2728.0,1455,Invacare Power Wheelchairs,NZL,NZL
2895,2729.0,1456,Kerr Extrude Wash dental impression material,NZL,NZL
2902,2736.0,1461,Ethicon Proximate HCS Hemorrhoidal Circular Stapler and Accessories 33mm,NZL,NZL
2903,2737.0,1461,"Ethicon Proximate PPH Hemorrhoidal Circulat Stapler and Accessories, 33mm",NZL,NZL
2905,2739.0,1462,Elekta Apex,NZL,NZL
2906,2740.0,1463,Advanced Neuromodulation Systems Eon Mini,NZL,NZL
2912,2746.0,1466,GE Dash 3000/4000/5000 Patient Monitor,NZL,NZL
2913,2747.0,1466,GE DashPort 2 Patient Monitor,NZL,NZL
2914,2748.0,1466,GE Carescape B850 Patient Monitor,NZL,NZL
2915,2749.0,1467,GE Carescape B650 Patient Monitor,NZL,NZL
2916,2750.0,1468,Lima SMR System glenoid components,NZL,NZL
2917,2751.0,1469,Orthofix Intramedullary Skeletal Kinetic Distractor (ISKD),NZL,NZL
